startTimeStamp,endTimeStamp,awakeTimeInSeconds,startDate,startTime,endDate,endTime
1518301200,1518337260,0,2018-02-10,22:20:00,2018-02-11,08:21:00
1518398700,1518423600,0,2018-02-12,01:25:00,2018-02-12,08:20:00
1518479460,1518502080,0,2018-02-12,23:51:00,2018-02-13,06:08:00
1518553260,1518582000,0,2018-02-13,20:21:00,2018-02-14,04:20:00
1518741000,1518771240,0,2018-02-16,00:30:00,2018-02-16,08:54:00
1518821220,1518846360,0,2018-02-16,22:47:00,2018-02-17,05:46:00
1518902880,1518932040,0,2018-02-17,21:28:00,2018-02-18,05:34:00
1518988740,1519016040,0,2018-02-18,21:19:00,2018-02-19,04:54:00
1519075020,1519105020,0,2018-02-19,21:17:00,2018-02-20,05:37:00
1519164360,1519187100,0,2018-02-20,22:06:00,2018-02-21,04:25:00
1519251960,1519285620,0,2018-02-21,22:26:00,2018-02-22,07:47:00
1519338000,1519374780,0,2018-02-22,22:20:00,2018-02-23,08:33:00
1519417980,1519445460,0,2018-02-23,20:33:00,2018-02-24,04:11:00
1519502160,1519533480,0,2018-02-24,19:56:00,2018-02-25,04:38:00
1519595700,1519623060,0,2018-02-25,21:55:00,2018-02-26,05:31:00
1519680780,1519708440,0,2018-02-26,21:33:00,2018-02-27,05:14:00
1519768140,1519807800,0,2018-02-27,21:49:00,2018-02-28,08:50:00
1519851540,1519892700,0,2018-02-28,20:59:00,2018-03-01,08:25:00
1519958400,1519983780,0,2018-03-02,02:40:00,2018-03-02,09:43:00
1520210580,1520247060,0,2018-03-05,00:43:00,2018-03-05,10:51:00
1520299860,1520336460,0,2018-03-06,01:31:00,2018-03-06,11:41:00
1520379720,1520403900,0,2018-03-06,23:42:00,2018-03-07,06:25:00
1520475900,1520507280,0,2018-03-08,02:25:00,2018-03-08,11:08:00
1520649420,1520655720,0,2018-03-10,02:37:00,2018-03-10,04:22:00
1520734140,1520752800,0,2018-03-11,02:09:00,2018-03-11,07:20:00
1520823780,1520837520,0,2018-03-12,03:03:00,2018-03-12,06:52:00
1520908620,1520936880,0,2018-03-13,02:37:00,2018-03-13,10:28:00
1520987100,1521018840,0,2018-03-14,00:25:00,2018-03-14,09:14:00
1521170400,1521199560,0,2018-03-16,03:20:00,2018-03-16,11:26:00
1521595620,1521622500,0,2018-03-21,01:27:00,2018-03-21,08:55:00
1521684900,1521702660,0,2018-03-22,02:15:00,2018-03-22,07:11:00
1521765840,1521789780,0,2018-03-23,00:44:00,2018-03-23,07:23:00
1521844260,1521855180,0,2018-03-23,22:31:00,2018-03-24,01:33:00
1522279800,1522304520,0,2018-03-28,23:30:00,2018-03-29,06:22:00
1522376580,1522402260,0,2018-03-30,02:23:00,2018-03-30,09:31:00
1522453920,1522478520,0,2018-03-30,23:52:00,2018-03-31,06:42:00
1522549440,1522587180,0,2018-04-01,02:24:00,2018-04-01,12:53:00
1522643760,1522672020,0,2018-04-02,04:36:00,2018-04-02,12:27:00
1522816260,1522847280,0,2018-04-04,04:31:00,2018-04-04,13:08:00
1523067240,1523105580,0,2018-04-07,02:14:00,2018-04-07,12:53:00
1523141100,1523152980,0,2018-04-07,22:45:00,2018-04-08,02:03:00
1523243040,1523276160,0,2018-04-09,03:04:00,2018-04-09,12:16:00
1523658180,1523698500,0,2018-04-13,22:23:00,2018-04-14,09:35:00
1523742180,1523781360,0,2018-04-14,21:43:00,2018-04-15,08:36:00
1523917140,1523945100,0,2018-04-16,22:19:00,2018-04-17,06:05:00
